id|count
Q1013757|4
Q1013826|3
Q1013827|5
Q1013831|2
Q1013935|3
Q1013970|5
Q1013975|2
Q1013988|2
Q1014010|7
Q1014066|4
Q1014075|2
Q1014090|3
Q1014093|5
Q1014103|3
Q1014104|4
Q1014108|2
Q1014118|8
Q1014125|3
Q1014130|2
Q101413525|3
Q1014166|2
Q1014178|6
Q101418|3
Q1014190|8
Q1014206|9
Q1014212|5
Q1014221|11
Q1014225|3
Q1014231|19
Q1014235|3
Q1014244|8
Q1014254|3
Q1014258|6
Q1014262|9
Q1014271|2
Q1014278|7
Q1014285|12
Q1014288|5
Q1014298|5
Q1014306|2
Q1014310|9
Q1014315|8
Q1014328|2
Q1014353|2
Q1014359|3
Q1014363|2
Q1014367|6
Q1014375|10
Q1014380|5
Q1014390|2
Q1014409|3
Q1014430|2
Q1014443|5
Q1014448|2
Q1014456|3
Q1014461|2
Q1014468|3
Q1014474|2
Q1014481|5
Q1014493|19
Q1014504|3
Q1014511|2
Q1014515|5
Q1014523|4
Q1014524|3
Q1014530|2
Q1014537|2
Q1014543|4
Q1014554|5
Q1014561|2
Q1014564|4
Q1014580|2
Q1014652|2
Q1014661|4
Q1014699|5
Q1014783|12
Q1014806|3
Q1014821|2
Q1014882|2
Q1014910|2
Q1014934|2
Q1014957|3
Q1014965|6
Q1014974|15
Q1015|9
Q1015005|2
Q1015036|3
Q1015063|3
Q1015069|2
Q1015083|6
Q1015092|2
Q1015100|4
Q1015132|4
Q1015146|5
Q1015152|4
Q1015157|3
Q1015160|5
Q1015165|2
Q1015172|4
Q1015178|9
Q1015239|2
Q1015255|2
Q1015264|4
Q101530|8
Q1015364|10
Q1015375|2
Q1015401|3
Q1015472|11
Q1015504|3
Q1015513|5
Q1015546|9
Q1015586|4
Q1015595|11
Q1015618|5
Q1015631|4
Q1015634|2
Q1015639|8
Q1015647|5
Q1015672|13
Q1015681|6
Q1015690|10
Q1015699|3
Q1015716|8
Q1015727|3
Q1015752|3
Q1015773|3
Q1015796|4
Q1015818|6
Q1015849|2
Q1015857|4
Q1015891|6
Q1015899|3
Q1015916|8
Q1015958|3
Q1015985|2
Q1015993|2
Q1016019|4
Q1016035|2
Q1016042|3
Q1016055|2
Q1016062|9
Q1016067|2
Q1016070|11
Q1016071|3
Q1016073|3
Q1016078|2
Q1016090|5
Q1016100|7
Q1016106|4
Q1016114|2
Q1016123|2
Q1016169|4
Q1016176|2
Q1016185|3
Q1016240|3
Q1016242|5
Q101625|63
Q1016261|2
Q1016267|7
Q1016286|3
Q1016287|3
Q1016289|2
Q1016292|4
Q1016296|5
Q1016297|3
Q1016302|6
Q1016308|3
Q1016311|4
Q1016314|2
Q1016316|4
Q1016318|5
Q1016323|3
Q1016362|2
Q1016376|3
Q1016404|2
Q1016533|3
Q1016542|2
Q1016551|5
Q1016557|4
Q1016566|2
Q1016574|4
Q1016576|2
Q1016587|3
Q1016604|4
Q1016692|3
Q1016694|10
Q1016703|3
Q1016707|6
Q1016720|6
Q1016732|4
Q1016738|5
Q1016743|4
Q1016753|3
Q1016767|4
Q1016808|3
Q1016818|2
Q1016823|2
Q1016824|2
Q1016839|4
Q1016847|2
Q1016855|4
Q1016869|4
Q1016877|5
Q1016878|4
Q1016886|3
Q1016895|3
Q1016898|4
Q1016900|2
Q101690262|2
Q1016904|4
Q1016908|4
Q1016911|5
Q1016915|2
Q1016920|4
Q1016922|5
Q1016925|5
Q1016931|5
Q1016934|5
Q1016935|5
Q1016941|3
Q1016942|3
Q1016944|5
Q1016947|2
Q1016956|4
Q1016958|3
Q1016963|3
Q1016971|4
Q1016985|4
Q1016999|3
Q1017|29
Q1017008|2
Q1017010|3
Q1017022|4
Q101704|4
Q1017052|2
Q1017068|3
Q1017084|3
Q1017096|2
Q1017098|3
Q1017101|4
Q1017107|18
Q1017129|5
Q1017153|4
Q1017154|19
Q1017159|6
Q1017160|15
Q1017164|9
Q1017167|15
Q1017182|3
Q1017183|11
Q1017187|4
Q1017194|2
Q1017196|5
Q1017199|3
Q1017200|3
Q1017204|3
Q1017205|10
Q1017208|3
Q1017210|12
Q1017223|12
Q1017224|5
Q1017225|7
Q1017314|12
Q1017315|2
Q1017331|9
Q1017354|3
Q1017358|2
Q1017362|4
Q1017369|2
Q1017376|2
Q1017387|5
Q1017453|9
Q1017468|2
Q1017477|11
Q1017486|5
Q1017493|10
Q1017497|10
Q1017506|9
Q1017537|5
Q1017544|3
Q1017554|3
Q1017560|2
Q1017565|2
Q1017594|2
Q1017610|3
